-42.5,95.9375,-215.813
-21.4375,106.188,-197.688
27.125,97.25,-183.625
35.3125,66.125,-172.938
1.8125,40.3125,-138.75
-28.1875,15.625,-98.5625
-38.25,6.125,-57
-37.375,1.9375,-28
-31.3125,0.4375,-16.5
-28,0.0625,-8.3125
-15.4375,-0.6875,-0.375
-1.375,-1.375,8.0625
-1.875,2.9375,13.4375
-5.9375,4.125,12
-3.625,2.125,10.8125
1.375,0.125,10.9375
-1.25,-0.125,9
-2.5625,-0.75,8.4375
-4.9375,-0.5,6.25
-7.875,-1.6875,6.3125
-6.3125,-4.125,4.3125
-1.875,-3.625,2.8125
-5.125,-3.4375,1
-7.1875,-2.4375,0.5625
-6,-2.5,0.625
-7.875,-3,1.1875
-7.25,-2.5,-0.0625
-5.4375,-2.4375,-0.8125
-3.625,-1.875,0
-4.125,-1.4375,0.625
-6.375,-0.4375,2.25
-6.75,1,3.5625
-2.4375,2.3125,3.5
-0.6875,2,2.3125
-0.625,0.5625,0.875
0.5,-0.3125,0.5625
0.75,-0.0625,3.6875
-0.9375,1.25,3.4375
-1.125,2,1.8125
-0.8125,1.25,1.125
1.1875,0.75,1.625
-2.6875,0.75,2.4375
-2.6875,0.9375,2.6875
-2.375,0.9375,3.1875
-3.375,0.25,2.5625
-3.6875,0.0625,2.3125
-5.25,-0.5625,2.375
-4.875,-0.375,2.5
-4.4375,-0.9375,2.375
-2.75,-1.375,2.625
-3.6875,-0.5,3
-6.5625,0.375,2
-3.875,0.4375,2.5625
-2.6875,-0.625,3
-3.0625,0.1875,2.5625
-2.75,0.625,1.1875
-1.9375,1.375,2.3125
-1.8125,1.9375,2.75
-2.875,2.0625,3.25
-3.5625,1.5625,3.375
-2.875,1.625,3.625
-3.0625,1.5,1.9375
-1.375,1.625,2.5
0.0625,2.375,2
0.9375,2.4375,1.75
-1,2.4375,2.125
-0.4375,1.5,1.3125
1.4375,1,1.5
1.0625,1.0625,1.6875
-0.75,0.375,0.9375
0.3125,-0.5625,1.3125
1.875,-0.3125,2.625
-0.25,-0.5,1.5
