-1,-1,-1,-6,-3,-11,4,-2,0
-1,0,0,0,6,17,-6,-1,0
-1,-2,-2,-1,2,-11,-7,1,0
-1,-1,1,2,-5,-15,6,-2,0
2,-2,0,1,-2,-9,13,2,0
0,1,0,1,2,13,-10,-1,0
-2,-2,-1,-1,1,10,-7,-2,0
2,1,0,0,-4,-15,11,2,0
-1,0,1,-1,-3,-5,4,2,0
-2,0,-3,3,1,8,-6,-2,0
0,-1,-2,1,6,12,-6,-1,0
2,0,1,2,0,-3,-8,-1,0
-1,-3,-4,-3,-1,-1,-3,-3,0
-1,0,1,1,3,-11,0,0,0
0,-1,1,-1,-4,4,1,0,0
-1,1,1,0,-5,-10,-4,1,0
1,0,-1,-3,3,-10,-6,-1,0
0,0,-1,0,-6,1,6,1,0
0,0,1,2,-1,0,-16,-3,0
-2,0,-2,-4,-10,-18,-3,-2,0
-1,0,0,1,-5,-4,2,-1,0
-1,-2,-1,-1,-1,4,-3,0,0
0,1,0,1,-3,15,-3,1,0
-1,1,1,-2,0,-3,14,2,0
0,0,-1,0,8,29,6,1,0
0,-1,-1,0,1,-19,0,0,0
2,0,1,-3,-2,-16,16,3,0
-2,-4,-1,0,-1,26,-4,-3,0
0,0,0,0,-11,-6,3,0,0
0,0,-2,-4,0,5,-6,-1,0
-1,-1,-2,0,0,2,3,0,0
1,0,0,-1,7,9,-7,0,0
-2,0,-1,-1,-4,-26,-2,0,0
-2,-1,-2,-2,-1,-10,-10,-2,0
0,-1,0,1,2,30,17,2,0
0,-1,2,4,4,0,-2,1,0
-1,0,0,3,1,3,-1,-2,0
-2,-2,-2,-4,6,2,-6,-2,0
-1,-2,0,1,-4,2,0,1,0
-1,-1,0,-2,0,-1,2,0,0
0,-1,1,-2,1,-1,-3,-1,0
1,2,0,-1,-1,-1,-1,-1,0
-1,-1,0,3,1,-5,-1,0,0
0,2,-2,-2,-2,11,2,-1,0
0,0,0,-3,0,-4,-3,-1,0
0,0,0,0,1,12,14,3,0
1,-2,-2,-4,-3,1,-1,-2,0
0,0,0,-1,5,24,-5,0,0
1,1,-1,-1,-9,-31,3,1,0
-1,-2,-2,2,-3,-17,-2,0,0
-4,-1,-2,-2,0,-1,-4,-2,0
1,-1,0,0,-4,6,6,1,0
-1,-2,-2,0,1,-8,2,0,0
-2,-3,-2,-1,-2,-5,1,0,0
1,0,-2,-2,-2,-1,1,0,0
-1,1,2,3,3,-7,-2,-1,0
-2,-1,-1,-4,1,6,4,-1,0
-2,-1,-2,-1,-2,-2,-3,-1,0
0,0,-1,-4,-3,10,-4,0,0
-1,-1,-3,-2,-7,-5,-8,0,0
1,-1,1,2,4,-3,5,2,0
-1,0,-1,1,-4,-1,-3,0,0
-1,0,0,-1,2,-6,-1,-1,0
-2,0,-1,0,5,11,2,-1,0
-1,1,1,2,0,5,-3,-1,0
-1,-2,-1,-2,-13,-24,-4,0,0
0,-1,0,-1,-7,6,-3,1,0
0,-2,1,-1,-2,-9,-3,0,0
0,-1,0,0,-1,2,2,-1,0
0,0,-3,3,0,4,-1,-1,0
-1,1,0,1,-5,-25,-5,-1,0
0,0,-1,1,6,14,-3,-2,0
0,0,0,1,-1,1,-2,-1,0
-2,0,-2,-3,-3,-14,-1,-2,0
-3,-1,-3,-2,4,-7,-6,-2,0
-1,0,-1,-2,-2,0,0,1,0
-1,1,-1,0,1,9,-7,-1,0
1,2,1,2,-1,-2,4,1,0
1,0,1,3,1,0,-4,0,0
0,-1,-3,-5,-6,-12,5,-1,0
-2,0,-4,-4,-2,1,0,-1,0
0,0,0,0,1,9,4,0,0
-2,-1,-1,0,-2,5,2,0,0
1,0,0,1,-2,-4,-5,-1,0
0,-1,0,1,-2,6,16,1,0
-1,-4,-2,-4,-2,-7,-4,1,0
-1,-1,-2,0,-2,-7,-6,0,0
0,0,0,0,1,-4,2,0,0
0,-1,-1,-2,8,6,-8,-1,0
-1,0,-2,0,0,5,1,-1,0
-1,-1,-1,-3,5,-2,-4,-1,0
-1,0,-2,-2,0,4,0,0,0
-2,-1,1,3,-3,3,0,-1,0
0,0,1,-1,6,1,10,0,0
1,-2,-3,-4,-1,-4,-8,-3,0
-1,-2,-3,-1,0,21,3,-1,0
-1,-2,-2,-1,1,0,-5,-3,0
0,1,1,2,1,-5,8,0,0
-1,0,0,2,0,-6,1,1,0
0,-2,0,0,0,0,-4,0,0
-1,0,0,-1,-2,1,-2,-1,0
1,-3,0,-3,-3,-5,-7,-1,0
-1,0,-1,-2,5,0,1,0,0
-1,3,-1,0,-1,-1,-2,-1,0
-1,1,-1,2,-5,1,-2,1,0
1,1,-1,3,-1,3,-5,-2,0
0,0,-2,-4,1,2,10,3,0
-2,-2,-3,-1,-2,4,-4,-1,0
-2,-1,0,-5,-1,-10,-2,-1,0
-1,0,1,2,-2,3,6,0,0
1,0,-1,-1,1,-1,-3,-1,0
0,-1,2,3,-8,-16,1,-1,0
1,-1,-1,0,-5,8,15,1,0
0,-2,0,0,8,11,-5,0,0
-2,-2,0,0,-3,-2,-3,0,0
1,0,0,-2,-4,-12,11,1,0
-1,-1,-3,-2,1,12,-6,-1,0
-2,-1,-1,1,1,-8,2,-1,0
-1,-2,0,1,2,12,-3,-1,0
-2,-1,1,1,5,-1,-4,-2,0
2,0,2,-3,-4,-2,0,-2,0
1,1,0,-1,-3,-10,-5,-2,0
1,0,1,0,-1,-9,4,0,0
0,-1,-2,-1,-4,2,-6,-1,0
0,-1,0,0,-1,-9,9,2,0
-2,-1,-1,1,6,-5,-6,-1,0
-1,0,1,1,-10,6,-2,1,0
-1,-1,0,-1,1,5,0,-2,0
-2,-1,-2,-4,-3,-13,-12,-2,0
0,0,1,0,5,13,6,-1,0
-2,0,-2,0,-6,-12,-4,-1,0
-1,-1,-3,-4,0,23,-6,0,0
-1,-1,-2,-3,-2,-8,-2,-2,0
-2,-1,-2,-3,-9,-14,-6,-1,0
1,-1,-1,0,-1,1,8,-2,0
-1,0,0,1,1,16,-1,-2,0
-2,2,1,-1,2,5,-3,0,0
0,-2,-2,0,3,-2,2,-3,0
-1,0,2,4,2,19,13,0,0
-2,-1,-1,-1,-5,-18,-9,-1,0
-1,1,0,-5,-9,-13,10,-1,0
0,0,-1,-2,-1,5,-2,-1,0
-1,-1,-1,1,7,-3,-9,-2,0
-1,-2,-1,-4,-2,-3,19,1,0
-1,0,0,3,-7,-1,-12,-1,0
-3,0,-1,-1,3,12,-8,0,0
2,-1,2,1,0,-21,26,5,0
-1,1,1,2,-5,-8,0,-1,0
0,0,-1,0,3,3,-13,-1,0
-1,-1,1,-2,-3,2,-1,0,0
-1,1,-1,0,-4,-8,1,0,0
-2,-2,-1,-1,-1,-25,-8,-1,0
1,-1,-2,-1,-2,6,1,-1,0
0,-2,1,-2,8,12,4,1,0
0,1,-1,0,1,6,-2,0,0
0,0,0,0,-2,-3,-9,-3,0
-2,0,0,2,0,-8,12,0,0
1,0,-2,-3,-8,-4,-17,-2,0
-1,-2,1,2,1,-8,-4,-3,0
-1,0,1,0,-3,-7,-3,-3,0
-1,0,-2,2,5,16,6,1,0
-1,-2,-2,-2,-5,-1,2,-3,0
1,-1,-1,-6,-2,0,-8,-1,0
0,0,0,2,1,20,3,1,0
