-1,-2,1,1,4,1,0,0,0,0
-2,-3,-3,-7,-17,-3,1,1,0,0
0,0,-6,-8,0,-1,-1,0,0,0
0,-3,-2,15,-15,-3,2,1,0,0
0,0,0,-2,4,1,0,-1,0,0
-1,1,2,1,-4,1,0,0,0,0
0,1,4,-5,-8,2,1,0,0,0
-1,-1,-1,-5,9,-2,-2,-1,0,0
0,-2,-4,-2,-20,2,0,0,0,0
0,-1,3,-5,-5,-13,-1,-2,0,0
0,-2,0,5,-1,-4,1,-1,0,0
0,-1,0,-1,1,-4,-2,-1,0,0
-1,-1,2,-1,-8,-6,-2,-1,0,0
-1,1,3,-1,9,7,-1,0,0,0
-2,-4,-1,1,2,-8,0,-1,0,0
-1,0,1,-2,-1,5,0,-1,0,0
-1,1,2,-3,8,0,1,1,0,0
-1,1,-1,-4,7,5,1,-1,0,0
0,0,-3,3,-7,-1,0,-1,0,0
0,-1,-5,-4,-5,-6,-1,-1,0,0
-1,-2,1,-2,-14,-1,1,-1,0,0
0,1,1,5,8,2,0,1,0,0
0,-1,0,8,6,-4,1,1,0,0
0,-1,-1,-5,3,-1,1,-2,0,0
-1,0,-5,5,6,1,0,1,0,0
0,-1,1,11,-2,0,-2,0,0,0
-2,-2,-13,-2,11,-1,-3,-1,0,0
2,1,-3,3,5,-1,0,-1,0,0
-1,1,0,-10,13,16,1,0,0,0
-1,-1,-1,3,-3,0,-1,-2,0,0
0,-1,3,-12,-2,-4,-3,0,0,0
1,1,-4,0,5,-4,0,-1,0,0
-1,-2,0,-12,1,3,1,-1,0,0
-3,-3,-4,9,-11,-3,-1,-2,0,0
-1,-1,0,1,-30,-4,0,0,0,0
0,1,3,-11,-8,2,1,-1,0,0
0,0,-1,-7,1,-1,0,0,0,0
0,1,4,11,7,2,0,-1,0,0
-1,-3,-5,-2,15,-10,-3,-3,0,0
-2,-2,-3,0,-2,12,0,-1,0,0
-2,0,2,-6,-3,-4,-2,-3,0,0
-2,-4,-4,-4,-1,-3,-1,0,0,0
0,-2,1,21,16,0,0,0,0,0
0,1,-4,-1,8,1,0,0,0,0
1,1,2,1,5,0,0,1,0,0
0,0,4,-10,-12,-8,0,0,0,0
1,1,4,4,3,4,1,0,0,0
1,-1,-6,-15,-16,-1,-1,2,0,0
0,-5,-2,5,-2,-2,-1,-2,0,0
-1,-2,1,3,6,-8,-1,-1,0,0
1,2,-4,-7,-4,2,-1,-1,0,0
-1,-1,0,-2,-6,-5,-1,-1,0,0
0,-3,0,0,-5,-7,-3,-1,0,0
-2,1,-1,0,13,10,0,0,0,0
-1,0,-2,0,-1,0,-1,1,0,0
1,-1,1,5,9,-1,-1,1,0,0
-1,-1,-1,-2,0,-3,0,1,0,0
-1,-1,-1,0,-3,4,-1,-1,0,0
1,0,1,1,-3,-14,0,-2,0,0
0,-2,-1,2,4,12,2,0,0,0
0,0,1,1,-18,-23,-3,0,0,0
-2,1,2,1,25,3,-1,-1,0,0
0,-1,1,0,8,3,1,0,0,0
0,-1,0,-2,0,-13,-3,0,0,0
-2,-2,-2,-2,-3,0,4,1,0,0
-2,-1,0,-2,4,-12,-6,-2,0,0
-2,1,-1,1,9,4,-1,2,0,0
0,0,-1,-2,7,7,0,0,0,0
-1,-1,0,-1,-11,-1,-2,0,0,0
-2,1,-4,-2,-5,6,-1,-1,0,0
1,0,-1,7,4,6,-1,0,0,0
0,-4,-5,4,-3,-3,0,1,0,0
-1,-2,1,-3,-8,3,0,-2,0,0
-1,-1,1,1,1,-9,-3,-2,0,0
-1,-1,-4,-5,-1,-1,0,-2,0,0
2,2,4,3,5,9,4,1,0,0
-1,1,-2,-5,-10,7,-2,-2,0,0
0,-1,0,3,5,-1,3,-1,0,0
0,-1,1,1,-7,-17,-8,0,0,0
-1,-1,-1,0,6,12,1,-1,0,0
-3,-3,-2,-4,1,0,2,-2,0,0
1,2,-1,-3,-6,-21,-8,1,0,0
0,0,-1,0,7,13,2,-3,0,0
1,0,-2,1,-20,-5,-2,0,0,0
1,2,6,13,26,4,0,1,0,0
0,0,-7,-21,-10,-4,-2,-2,0,0
-1,-2,-4,-8,-18,42,1,-1,0,0
1,0,5,9,-1,3,6,0,0,0
-3,-2,1,-4,-39,-19,-1,-2,0,0
1,0,2,11,48,6,-2,1,0,0
-1,-1,-1,-11,-23,2,8,-2,0,0
1,1,2,4,11,-6,-1,0,0,0
1,0,-3,2,-25,7,2,0,0,0
-3,-3,-4,-9,-37,-13,-2,-4,0,0
3,1,0,14,-14,1,-1,1,0,0
-2,-3,0,-4,-20,8,1,-1,0,0
1,2,2,-2,42,1,-2,-1,0,0
-4,-4,1,-8,-48,-7,3,0,0,0
0,1,-2,27,-9,-6,1,1,0,0
1,1,5,-21,-30,-2,0,-1,0,0
-1,-2,0,-6,6,-18,-3,-1,0,0
0,1,3,13,-1,7,1,2,0,0
-2,-2,-4,-21,-4,1,-4,0,0,0
-2,-3,-7,32,11,6,-1,-3,0,0
-5,2,4,1,14,4,3,4,0,0
3,-4,0,9,16,2,-2,-4,0,0
-4,-1,-1,7,12,-5,-6,3,0,0
-3,-1,-2,3,15,8,3,1,0,0
3,1,-2,-10,-12,-16,3,3,0,0
0,1,0,-2,-44,18,1,-3,0,0
1,1,1,17,32,0,3,3,0,0
4,0,0,-18,-8,-1,-3,3,0,0
-3,-3,-6,-6,15,5,-2,-4,0,0
2,1,-1,-8,-12,-13,-2,0,0,0
-12,-5,-2,4,11,-1,-2,-6,0,0
-2,3,2,0,27,1,-4,4,0,0
-1,-5,-2,10,-15,7,4,-3,0,0
5,-2,-1,-15,-26,0,5,-2,0,0
3,3,4,2,-2,4,3,4,0,0
-3,0,-3,3,-3,-2,0,-2,0,0
0,1,0,-6,-13,4,-2,-4,0,0
-1,-3,-2,20,12,-2,-2,2,0,0
2,-1,-2,-26,-2,0,-5,-2,0,0
0,0,8,16,22,-3,1,2,0,0
-1,-2,5,-17,-38,-3,1,-2,0,0
-1,-1,-4,21,11,-3,0,-1,0,0
-4,-3,2,1,-24,-11,-6,-1,0,0
-1,3,5,2,19,2,0,-3,0,0
2,-1,-6,7,29,-4,-2,0,0,0
-2,0,2,-29,-47,-1,-2,0,0,0
2,2,10,-19,-4,2,-1,-1,0,0
-2,-1,1,4,10,-3,-4,-1,0,0
0,0,0,27,-16,2,-1,-2,0,0
-1,0,2,-12,12,-6,-6,-1,0,0
